title,artist,lyrics
Jenny Was A Friend Of Mine,The Killers,"We took a walk that night, but it wasn't the same
We had a fight on the promenade out in the rain
She said she loved me, but she had somewhere to go
She couldn't scream while I held her close
I swore I'd never let her go

Tell me what you wanna know
Come on, come on
There ain't no motive for this crime
Jenny was a friend of mine
Come on, come on, yeah

I know my rights, I've been here all day and it's time
For me to go, so let me know if it's alright
I just can't take this, I swear I told you the truth
She couldn't scream while I held her close
I swore I'd never let her go

Tell me what you wanna know
Come on, come on
There ain't no motive for this crime
Jenny was a friend of mine
Then you whisper in my ear
""I know what you're doing here""
Come on, come on, yeah

Jenny was a friend of mine
Jenny was a friend of mine
Jenny was a friend of mine
Jenny was a friend of mine"
Mr. Brightside,The Killers,"Coming out of my cage and I've been doing just fine
Gotta, gotta be down, because I want it all
It started out with a kiss, how did it end up like this?
It was only a kiss, it was only a kiss
Now I'm falling asleep and she's calling a cab
While he's having a smoke and she's taking a drag
Now they're going to bed and my stomach is sick
And it's all in my head, but she's touching his

Chest now, he takes off her
Dress now, let me go
And I just can't look, it's killing me
They're taking control

Jealousy, turning saints into the sea
Swimming through sick lullabies, choking on your alibis
But it's just the price I pay, destiny is calling me
Open up my eager eyes, 'cause I'm Mr. Brightside

I'm coming out of my cage and I've been doing just fine
Gotta, gotta be down, because I want it all
It started out with a kiss, how did it end up like this?
It was only a kiss, it was only a kiss
Now I'm falling asleep and she's calling a cab
While he's having a smoke and she's taking a drag
Now they're going to bed and my stomach is sick
And it's all in my head, but she's touching his

Chest now, he takes off her
Dress now, let me go
'Cause I just can't look, it's killing me
They're taking control

Jealousy, turning saints into the sea
Swimming through sick lullabies, choking on your alibis
But it's just the price I pay, destiny is calling me
Open up my eager eyes, 'cause I'm Mr. Brightside

I never...
I never...
I never...
I never..."
Smile Like You Mean It,The Killers,"Save some face, you know you've only got one
Change your ways while you're young
Boy, one day you'll be a man
Oh girl, he'll help you understand

Smile like you mean it
Smile like you mean it

Looking back at sunsets on the Eastside
We lost track of the time
Dreams aren't what they used to be
Some things sat by so carelessly

Smile like you mean it
Smile like you mean it

And someone is calling my name
From the back of the restaurant
And someone is playing a game
In the house that I grew up in
And someone will drive her around
Down the same streets that I did
On the same streets that I did

Smile like you mean it
Smile like you mean it
Smile like you mean it
Smile like you mean it

Oh no, oh no, oh no no no
Oh no, oh no..."
Somebody Told Me,The Killers,"One, two, three, four

I'm breaking my back just to know your name
Seventeen tracks and I've had it with this game
I'm breaking my back just to know your name
But heaven ain't close in a place like this
Anything goes but don't blink, you might miss

'Cause heaven ain't close in a place like this
I said, heaven ain't close in a place like this
So bring it back down, bring it back down tonight
Never thought I'd let a rumor ruin my moonlight

Yes, somebody told me that you had a boyfriend
Who looked like a girlfriend that I had in February of last year
It's not confidential, I've got potential
Rushing and rushing around

Ready, let's roll onto something new
Taking its toll then I'm leaving without you
'Cause heaven ain't close in a place like this
I said, heaven ain't close in a place like this
So bring it back down, bring it back down tonight
Never thought I'd let a rumor ruin my moonlight

Yes, somebody told me that you had a boyfriend
Who looked like a girlfriend that I had in February of last year
It's not confidential, I've got potential
Rushing and rushing around

Pace yourself for me
I said maybe, baby, please
But I just don't know now (Baby, baby)
When all I wanna do is try

Well, somebody told me that you had a boyfriend
Who looked like a girlfriend that I had in February of last year
It's not confidential, I've got potential
Rushing and rushing around

Somebody told me that you had a boyfriend
Who looked like a girlfriend that I had in February of last year
It's not confidential, I've got potential
Rushing and rushing around"
All These Things That I've Done,The Killers,"When there's nowhere else to run
Is there room for one more son? One more son
If you can hold on
If you can hold on, hold on

I wanna stand up, I wanna let go
You know, you know; no, you don't, you don't
I wanna shine on in the hearts of man
I want a meaning from the back of my broken hand
Another head aches, another heart breaks
I'm so much older than I can take
And my affection, well, it comes and goes
I need direction to perfection, no, no, no, no

Help me out
Yeah, you know you got to help me out
Yeah, oh, don't you put me on the back burner
You know you got to help me out, yeah

And when there's nowhere else to run
Is there room for one more son?
These changes ain't changing me
The cold-hearted boy I used to be

Yeah, you know you got to help me out
Yeah, oh, don't you put me on the back burner
You know you got to help me out, yeah
You're gonna bring yourself down
Yeah, you're gonna bring yourself down
Yeah, you're gonna bring yourself down

I got soul, but I'm not a soldier
I got soul, but I'm not a soldier
I got soul, but I'm not a soldier
I got soul, but I'm not a soldier
I got soul, but I'm not a soldier
I got soul, but I'm not a soldier
I got soul, but I'm not a soldier

I got soul, but I'm not a soldier
I got soul, but I'm not a soldier
I got soul, but I'm not a soldier
Time, truth, and hearts

Yeah, you know you got to help me out
Yeah, oh, don't you put me on the back burner
You know you got to help me out
Yeah, you're gonna bring yourself down
Yeah, you're gonna bring yourself down
Yeah, oh, don't you put me on the back burner
You're gonna bring yourself down
Yeah, you're gonna bring yourself down

Over and in, last call for sin
While everyone's lost, the battle is won
With all these things that I've done
All these things that I've done
(Time, truth, and hearts)
If you can hold on
If you can hold on"
"Andy, You're A Star",The Killers,"On the field I remember you were incredible
Hey, shut up, hey, shut up, yeah

On the field I remember you were incredible
Hey, shut up, hey, shut up, yeah

On the match with the boys, you think you're alone
With the pain that you drain from love
In a car with a girl, promise me she's not your world
'Cause Andy, you're a star
Get down

Leave your number on the locker and I'll give you a call
Hey, shut up, hey, shut up, yeah

Leave your legacy in gold on the plaques that line the hall
Hey, shut up, hey, shut up, yeah

On the streets, such a sweet face jumping in town
In the staff room, the verdict is in
In a car with a girl, promise me she's not your world
'Cause Andy, you're a star

In nobody's eyes but mine
Andy, you're a star
In nobody's eyes but mine
Andy, you're a star
In nobody's eyes
In nobody's eyes but mine"
On Top,The Killers,"Remember Rio and get down
Like some other DJ, in some other town
She's been trying to tell me to hold tight
But I've been waiting this whole night
But I've been down across a road or two
But now I've found the velvet sun
That shines on me and you

In the back, ah-ho, I can't crack
We're on top
It's just a shimmy and a shake, ah-ho
I can't fake, we're on top, we're on top

The day is breaking, we're still here
Your body's shaking and it's clear
You really need it, so let go
And let me feed it, but you know
That I've been down across a road or two
But now I've found the velvet sun
That shines on me and you

In the back, ah-ho, I can't crack
We're on top
It's just a shimmy and a shake, ah-ho
I can't fake, we're on top, we're on top
We bring the bump to the grind, ah-ho
I don't mind, we're on top
It's just a shimmy and a shake, ah-ho
I can't fake, we're on top, we're on top

And we don't mean to satisfy tonight
So get your eyes off of my pride tonight
'Cause I don't need to satisfy tonight
It's like a cigarette in the mouth
Or a handshake in the doorway
I look at you and smile because I'm fine

And we don't mean to satisfy tonight
So get your eyes off of my pride tonight
'Cause I don't need to satisfy tonight
It's like a cigarette in the mouth
Or a handshake in the doorway
I look at you and smile because I'm fine now"
Glamorous Indie Rock & Roll,The Killers,"Glamorous indie rock and roll is what I want
It's in my soul, it's what I need
Indie rock and roll, it's time
Two of us flipping through a thrift store magazine
She plays the drums, I'm on tambourine
Bet your, your bottom dollar on me

It's indie rock and roll for me
It's indie rock and roll for me
It's all I need
It's indie rock and roll for me

In a clutch, I'm talking every word for all the boys
Electric girls with worn-down toys
Make it up, break it up, what do you care?
Oh, what do you care?
I take my twist with a shout
A coffee shop with a cause, then I'll freak you out
No sex, no drugs, no life, no love
When it comes to today

Stay if you want to love me, stay
Oh, don't be shy, let's cause a scene
Like lovers do on silver screens
Let's make it, yeah, we'll cause a scene

It's indie rock and roll for me
It's indie rock and roll for me
It's all I need
It's indie rock and roll for me

(In a clutch, I'm talking every word for all the boys)
It's indie rock and roll for me
It's all I need
Make it up, break it up, what do you care?
It's indie rock and roll for me
(Two of us flipping through a thrift store magazine)
Indie rock and roll for me
It's all I need
Make it up, break it up, what do you care?
It's indie rock and roll for me"
Believe Me Natalie,The Killers,"Believe me, Natalie, listen, Natalie
This is your last chance to find a go-go dance to disco now
Please believe me, Natalie, listen Natalie
This is your last chance to find a go-go dance to disco now
Forget what they said in SoHo, leave the ""Oh, no""s out
And believe me, Natalie, listen Natalie
This is your last chance

There is an old cliche under your Monet, baby
Remember the arch of roses right above your couch?
Forget what they said in SoHo, leave the ""Oh, no""s out
Yes, there is an old cliche under your Monet, baby

You left the station now to the floor with speculation
What was it for?
In that old hallway, Mom says, ""Why don't you stay?
You've been away for a long time""

Believe me, Natalie
This is your last chance to find a go-go
Forget what they said in SoHo
And walk away
If my dreams for us can't get you through just one more day
It's alright by me

God, help me somehow
There's no time for survival left
The time is now
'Cause this might be your last chance to disco, oh-oh, oh-oh"
Midnight Show,The Killers,"I know what you want
I'm gonna take you to a midnight show tonight
If you can keep a secret
I got a blanket in the back seat on my mind

And a little place that sits beneath the sky
She turned her face to speak but no-one heard her cry

Drive faster, boy
Drive faster, boy, ooh, yeah-ooh

I know there's a hope
There's too many people trying to help me cope
You got a real short skirt
I wanna look up, look up, look up, yeah, yeah
We were just in time
Let me take a little more off your mind
There's something in my head, somewhere in the back, saying
""We were just a good thing, we were such a good thing""

Make it go away without a word
But promise me you'll stay and fix these things I've heard

Oh, make it go away
Drive faster, boy, ooh, yeah-ooh
Oh, no

A crashing tide can't hide a guilty girl
With jealous hearts that start with gloss and curls
I took my baby's breath beneath the chandelier
Of stars in atmosphere and watched her disappear

Into the midnight show
Faster, faster, faster, faster, faster, faster
Oh no, no, no, no, no, no
No, no, no, no, no

If you can keep a secret
Well, baby, I can keep it if you can keep a secret
(She said she loved me)
If you can keep a secret, I can keep a secret
(She said she loved me)
If you can keep a secret
Well, baby, I can keep it if you can keep a secret
"
